Headword,Definition,Part of Speech,Semantic Group,Frequency Rank
ā ab abs,"from, by (+abl.)",Preposition,Place,21.00
abeō -īre -iī -itum,go away,Verb: Irregular,Motion,553.00
absum abesse āfuī,"be away, absent",Verb: Irregular,Travel,445.00
ac,"and in addition, and also, and; (after comparatives) than; simul ac, as soon as; → atque",Conjunction,Conjunctions/Adverbs,36.00
accēdō -cēdere -cessī -cessum,approach,Verb: 3rd Conjugation -ō,Motion,614.00
accidō -cidere -cidī,fall; happen,Verb: 3rd Conjugation -ō,Motion,799.00
accipiō -cipere -cēpī -ceptum,receive,Verb: 3rd Conjugation -iō,Social Life,110.00
ācer ācris ācre,"sharp, piercing",Adjective: 3rd Declension,Other Senses,587.00
aciēs -ēī f.,edge; line of battle,Noun: 5th Declension,War and Peace,439.00
ad,"to, up to, towards (+acc.)",Preposition,Place,14.00
addō -dere -didī -ditum,give to,Verb: 3rd Conjugation -ō,Social Life,433.00
addūcō -ere -dūxī -ductum,"lead to, induce",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,886.00
adeō -īre -iī -itum,go to,Verb: Irregular,Motion,595.00
adeō,"(adv.) to such a degree, so",Adverb,Conjunctions/Adverbs,555.00
adhibeō -hibēre -hibuī -hibitum,apply,Verb: 2nd Conjugation,Making/Doing,959.00
adhūc,"thus far, to this point",Adverb,Place,379.00
adveniō -īre -vēnī -ventum,"come to, arrive at",Verb: 4th Conjugation,Travel,987.00
adversus -a -um,"facing, opposed; unfavorable",Adjective: 1st and 2nd Declension,War and Peace,657.00
adversus (-um),"(adv. and prep.) facing, opposite, against, opposed (to)",Adverb,War and Peace,460.00
advertō -vertere -vertī -versum,turn towards,Verb: 3rd Conjugation -ō,Motion,986.00
aedēs -is f.,building; (pl.) house,Noun: 3rd Declension,The House,965.00
aeger aegra aegrum,sick,Adjective: 1st and 2nd Declension,Life and Being,810.00
aegrē,with difficulty,Adverb,Life and Being,984.00
aequē,equally,Adverb,Justice,904.00
aequor aequoris n.,"level surface, sea, plain",Noun: 3rd Declension,Earth and Water,424.00
aequus -a -um,equal,Adjective: 1st and 2nd Declension,Justice,610.00
āēr āeris m.,air,Noun: 3rd Declension,Air and Fire,845.00
aes aeris n.,"copper, bronze",Noun: 3rd Declension,Business/Money,744.00
aetās -tātis f.,"age, time of life",Noun: 3rd Declension,Lengths of Time,308.00
aeternus -a -um,"everlasting, eternal",Adjective: 1st and 2nd Declension,Lengths of Time,734.00
aethēr aetheris n.,"pure upper air, ether, heaven, sky",Noun: 3rd Declension,Air and Fire,851.00
aevum -ī n.,"eternity; lifetime, age",Noun: 2nd Declension,Lengths of Time,875.00
afferō afferre attulī allātum,bring to,Verb: Irregular,Verbs of Transport,514.00
afficiō -ficere -fēcī -fectum,"affect, visit with (+ abl.)",Verb: 3rd Conjugation -iō,Social Life,958.00
ager agrī m.,field,Noun: 2nd Declension,Animals/Plants,324.00
agitō -āre,drive,Verb: 1st Conjugation,Verbs of Compelling/Directing,578.00
āgmen -minis n.,line of march,Noun: 3rd Declension,War and Peace,358.00
agō agere ēgī āctum,"drive, do, act",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,69.00
aiō,"say, affirm, say yes; ut āiunt: as they say",Verb: Irregular,Speech/Oratory,406.00
albus -a -um,white,Adjective: 1st and 2nd Declension,Vision,925.00
aliēnus -a -um,"foreign, strange",Adjective: 1st and 2nd Declension,Geography,367.00
aliquandō,"at some time, at length",Adverb,Time,763.00
aliquis -quae -quod,"some, any; si quis, si quid: anyone who, anything that",Pronoun,Pronouns/Interrogatives,77.00
aliter,"otherwise, differently",Adverb,Conjunctions/Adverbs,782.00
alius -a -ud,"other, another; ālias: at another time",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,37.00
alō alere aluī alitum,nourish,Verb: 3rd Conjugation -ō,Life and Being,817.00
alter altera alterum,other of two,Adjective: 1st and 2nd Declension,Measurement,148.00
altus -a -um,"high, lofty; deep",Adjective: 1st and 2nd Declension,Geography,159.00
amīcitia -ae f.,friendship,Noun: 1st Declension,Social Life,690.00
amīcus -a -um,friendly; (as subst.) friend,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,198.00
āmittō -mittere -mīsī -missum,"let go, send away",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,486.00
amnis -is m.,"river, torrent",Noun: 3rd Declension,Earth and Water,467.00
amō -āre,to love; amāns -ntis m./f.: lover,Verb: 1st Conjugation,Love,219.00
amor -ōris m.,love,Noun: 3rd Declension,Love,116.00
amplus -a -um,"large, spacious",Adjective: 1st and 2nd Declension,Measurement,915.00
an,or (in questions); utrum ... an: whether ... or,Conjunction,Conjunctions/Adverbs,94.00
anima -ae f.,"breath, spirit",Noun: 1st Declension,Life and Being,493.00
animal -ālis n.,"a living being, an animal",Noun: 3rd Declension,Animals/Plants,547.00
animus -ī m.,"spirit, mind",Noun: 2nd Declension,Life and Being,40.00
annus -ī m.,year,Noun: 2nd Declension,Lengths of Time,167.00
ante,"before, in front of (adv. and prep. + acc.)",Preposition,Time,112.00
antequam,before,Conjunction,Time,787.00
antīquus -a -um,"ancient, old-time, former",Adjective: 1st and 2nd Declension,Lengths of Time,617.00
aperiō aperīre aperuī apertum,open,Verb: 4th Conjugation,The House,837.00
appāreō -ēre -uī,"appear, become visible",Verb: 2nd Conjugation,Vision,830.00
appellō -pellāre,"call, address, name",Verb: 1st Conjugation,Social Life,700.00
aptus -a -um,"fit, suitable",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,916.00
apud,"near, in the presence of (+acc.)",Preposition,Place,205.00
aqua -ae f.,water,Noun: 1st Declension,Earth and Water,272.00
āra -ae f.,altar,Noun: 1st Declension,Religion,374.00
arbitror arbitrārī arbitrātus sum,"consider, think",Verb: Deponent,Education/Knowledge,963.00
arbor arboris f.,tree,Noun: 3rd Declension,Animals/Plants,468.00
ārdeō ārdēre ārsī ārsum,"blaze, glow; be eager",Verb: 2nd Conjugation,Air and Fire,618.00
argentum -ī n.,"silver, money",Noun: 2nd Declension,Business/Money,849.00
arma -ōrum n. pl.,"arms, weapons",Noun: 2nd Declension,War and Peace,98.00
ars artis f.,skill,Noun: 3rd Declension,Education/Knowledge,258.00
arvum -ī n.,"ploughed land, field",Noun: 2nd Declension,Animals/Plants,637.00
arx arcis f.,"citadel, castle; summit",Noun: 3rd Declension,The City,638.00
ascendō -ere -scendī -scēnsum,"climb up, ascend",Verb: 3rd Conjugation -ō,Travel,990.00
aspiciō -ere -spēxī -spectum,"look to or at, behold",Verb: 3rd Conjugation -iō,Vision,483.00
adsum adesse affuī,be present,Verb: Irregular,Place,279.00
astrum -ī n.,star; constellation,Noun: 2nd Declension,Air and Fire,685.00
at,"but, but yet",Conjunction,Conjunctions/Adverbs,74.00
atque,"and in addition, and also, and; (after comparatives) than; simul atque, as soon as; → ac",Conjunction,Conjunctions/Adverbs,35.00
auctor -ōris m.,"originator, founder",Noun: 3rd Declension,Writing/Poetry,546.00
