rank,headword,lemma,translation,part_of_speech,declension_or_conjugation,semantic_group,form_count
1,et,et,and,Conjunction,,Conjunctions/Adverbs,0
2,sum esse fuī futūrum,sum,"be, exist; fut. infin. often = fore, impf. subj. often = forem for essem",Verb: Irregular,Irregular,Life and Being,143
3,quī quae quod,quī,"who, which, what",Pronoun,Pronoun,Pronouns/Interrogatives,20
4,que,que,and (postpositive enclitic),Conjunction,,Conjunctions/Adverbs,0
5,in,in,"in, on (+ abl.); into, onto (+ acc)",Preposition,,Place,0
6,nōn,nōn,not,Adverb,,Conjunctions/Adverbs,0
7,hic haec hoc,hic,"this, these",Pronoun,Pronoun,Pronouns/Interrogatives,2
8,ille illa illud,ille,that,Pronoun,Pronoun,Pronouns/Interrogatives,22
9,tū tuī tibi tē,tū,you (sing.),Pronoun,Pronoun,Pronouns/Interrogatives,7
10,cum,cum,"with (prep. + abl.); when, since, although (conjunction + subj.)",Preposition,,Conjunctions/Adverbs,0
11,ego meī mihi mē,ego,"I, me",Pronoun,Pronoun,Pronouns/Interrogatives,6
13,is ea id,is,"he, she, it",Pronoun,Pronoun,Pronouns/Interrogatives,25
14,ad,ad,"to, up to, towards (+acc.)",Preposition,,Place,0
15,"ut, utī","ut,","as (+ indic.); so that, with the result that (+ subj.); (in questions) in what manner, how; (exclam.) to what an extent! how!",Adverb,,Conjunctions/Adverbs,0
16,sī,sī,if,Conjunction,,Conjunctions/Adverbs,0
17,sui sibi sē/sēsē,sui,"him- her- itself, themselves",Pronoun,Pronoun,Pronouns/Interrogatives,6
18,omnis -e,omnis,"all, every, as a whole",Adjective: 3rd Declension,3rd Declension,Measurement,73
19,nec,nec,"and not, nor; nec ... nec, neither ... nor; → neque",Conjunction,,Conjunctions/Adverbs,0
20,sed,sed,but,Conjunction,,Conjunctions/Adverbs,0
21,ā ab abs,ā,"from, by (+abl.)",Preposition,,Place,0
22,ipse ipsa ipsum,ipse,him- her- itself,Pronoun,Pronoun,Pronouns/Interrogatives,22
23,possum posse potuī,possum,be able,Verb: Irregular,Irregular,Making/Doing,65
24,aut,aut,or,Conjunction,,Conjunctions/Adverbs,0
25,māgnus -a -um,māgnus,great,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Measurement,84
26,"ex, ē","ex,","out of, from (+ abl.)",Preposition,,Place,0
27,suus -a -um,suus,"his own, her own, its own",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Pronouns/Interrogatives,84
28,dō dare dedī datum,dō,give,Verb: 1st Conjugation,1st Conjugation,Social Life,227
29,quam,quam,how?; (after comparative) than,Adverb,,Pronouns/Interrogatives,0
30,per,per,through (+acc.),Preposition,,Place,0
31,videō vidēre vīdī vīsum,videō,see,Verb: 2nd Conjugation,2nd Conjugation,Vision,228
32,faciō facere fēcī factum,faciō,"do, make",Verb: 3rd Conjugation -iō,3rd Conjugation -iō,Making/Doing,310
33,dīcō dīcere dīxī dictum,dīcō,"say; causam dīcere, plead a case; diem dīcere, appoint a day",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Speech/Oratory,485
34,iam,iam,now; already,Adverb,,Time,0
35,atque,atque,"and in addition, and also, and; (after comparatives) than; simul atque, as soon as; → ac",Conjunction,,Conjunctions/Adverbs,0
36,ac,ac,"and in addition, and also, and; (after comparatives) than; simul ac, as soon as; → atque",Conjunction,,Conjunctions/Adverbs,0
37,alius -a -ud,alius,"other, another; ālias: at another time",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Pronouns/Interrogatives,81
38,rēs reī f.,rēs,"thing (rēs pūblica, commonwealth; rēs familiāris, family property, estate; rēs mīlitāris, art of war; rēs novae, revolution)",Noun: 5th Declension,5th Declension,Life and Being,16
